Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP

 
4, 1, 4, 9, 0.430, 1.374, 0.004

 
4, 1, 5, 11, 0.460, 1.373, 0.004

 
4, 1, 6, 13, 0.410, 1.375, 0.004

 
4, 1, 7, 15, 0.400, 1.362, 0.004

 
4, 1, 8, 17, 0.440, 1.374, 0.004

 
4, 1, 9, 19, 0.270, 1.359, 0.004

 
4, 1, 10, 21, 0.150, 1.360, 0.004

 
4, 1, 11, 23, 0.260, 1.355, 0.004

 
4, 1, 12, 25, 0.290, 1.376, 0.004

 
4, 1, 13, 27, 0.280, 1.381, 0.004

 
4, 1, 14, 29, 0.300, 1.380, 0.004

 
4, 1, 15, 31, 0.310, 1.369, 0.004

 
5, 0, 0, 2, 0.350, 1.390, 0.004

 
5, 0, 1, 4, 0.390, 1.387, 0.004

 
5, 0, 2, 6, 0.350, 1.383, 0.004

 
5, 0, 3, 8, 0.440, 1.385, 0.004

 
5, 0, 4, 10, 0.360, 1.376, 0.004

 
5, 0, 5, 12, 0.410, 1.379, 0.004

 
5, 0, 6, 14, 0.340, 1.382, 0.004

 
5, 0, 7, 16, 0.390, 1.384, 0.004

 
5, 0, 8, 18, 0.370, 1.386, 0.004

 
5, 0, 9, 20, 0.360, 1.378, 0.004

 
5, 0, 10, 22, 0.370, 1.373, 0.004

 
5, 0, 11, 24, 0.300, 1.393, 0.004

 
5, 0, 12, 26, 0.390, 1.378, 0.004

 
5, 0, 13, 28, 0.320, 1.384, 0.004

 
5, 0, 14, 30, 0.350, 1.397, 0.004

 
5, 0, 15, 32, 4.270, 1.358, 0.004

 
5, 1, 0, 1, 0.430, 1.371, 0.004

 
5, 1, 1, 3, 0.070, 1.380, 0.004

 
5, 1, 2, 5, 0.430, 1.363, 0.004

 
5, 1, 3, 7, 0.410, 1.359, 0.004

 
5, 1, 4, 9, 0.430, 1.385, 0.004

 
5, 1, 5, 11, 0.450, 1.364, 0.004

 
5, 1, 6, 13, 0.410, 1.368, 0.004

 
5, 1, 7, 15, 0.390, 1.395, 0.004

 
5, 1, 8, 17, 0.440, 1.361, 0.004

 
5, 1, 9, 19, 0.250, 1.365, 0.004

 
5, 1, 10, 21, 0.150, 1.373, 0.004

 
5, 1, 11, 23, 0.260, 1.375, 0.004

 
5, 1, 12, 25, 0.290, 1.375, 0.004

 
5, 1, 13, 27, 0.270, 1.368, 0.004

 
5, 1, 14, 29, 0.290, 1.382, 0.004

 
5, 1, 15, 31, 0.310, 1.374, 0.004

 
6, 0, 0, 2, 0.350, 1.383, 0.004

 
6, 0, 1, 4, 0.390, 1.389, 0.004

 
6, 0, 2, 6, 0.350, 1.387, 0.004

 
6, 0, 3, 8, 0.450, 1.367, 0.004

 
6, 0, 4, 10, 0.350, 1.386, 0.004

 
6, 0, 5, 12, 0.400, 1.374, 0.004

 
6, 0, 6, 14, 0.340, 1.385, 0.004

 
6, 0, 7, 16, 0.390, 1.382, 0.004

 
6, 0, 8, 18, 0.380, 1.388, 0.004

 
6, 0, 9, 20, 0.350, 1.387, 0.004

 
